V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q68,Q22,Q74_1,Q63,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q21,Q24,Q26,Q27,Q28,Q75_1,Q75_2,Q75_6,Q75_7,Q75_12,Q75_13,Q75_15,Q75_17,Q75_22,Q75_24,Q75_30,Q75_34,Q75_35,Q75_36,Q75_37,Q89,Q70_1,Q70_2,Q70_3,Q70_4,Q95_1,Q95_2,Q95_3,Q95_4,Q95_5,Q95_6,Q95_7,Q95_8,Q95_9,Q95_10,Q95_11,Q95_12,Q95_13,Q95_14,Q95_15,Q96_1,Q96_2,Q96_3,Q96_4,Q96_5,Q96_6,Q96_7,Q96_8,Q96_9,Q96_10,Q96_11,Q96_13,Q60_1,Q60_2,Q60_3,Q60_4,Q60_5,Q60_6,Q60_7,Q60_8,Q60_9,Q60_10,Q60_11,Q60_12,Q215_1,Q215_2,Q215_3,Q215_4,Q215_5,Q215_6,Q23_1,Q23_2,Q23_3,Q23_4,Q60_1,Q60_2,Q60_3,Q60_4,Q60_5,Q60_6,Q65,Q67,Q69,Q75,Q71,Q72,Q73,Q74,Q75,LocationLatitude,LocationLongitude,LocationAccuracy,
R_2e8O34iig8tAWCk,Default Response Set,Anonymous,,,142.58.41.232,0,2017-09-26 15:33:52,2017-09-26 16:30:42,1,10,56501,1,60,1,6,4,3,5,2,3,2,2,4,6,2,4,4,2,6,3,4,3,2,4,5,2,4,3,4,6,5,6,6,2,7,6,6,4,2,4,3,2,5,1,3,2,4,3,5,5,6,4,4,6,1,4,4,4,3,6,7,5,4,4,5,4,3,3,7,6,2,1,2,2,6,6,5,5,5,5,2,2,4,5,2,5,3,2,4,5,3,3,4,3,4,4,3,4,4,6,4,4,1,3,4,3,3,2,5,5,6,6,5,6,2,20,Asian,Psychology,10,3,2,4,1,49.264007568359,-122.93690490723,-1,
R_1FstlZU5vBxzF3b,Default Response Set,Anonymous,,,142.58.41.232,0,2017-09-26 16:31:51,2017-09-26 17:17:51,1,11,95837,1,75,1,4,5,3,2,6,2,2,5,2,4,3,3,1,4,5,3,3,2,2,5,5,2,2,3,2,1,4,3,1,1,4,4,4,3,3,6,5,2,2,1,3,1,3,3,5,5,4,5,5,5,1,4,4,4,2,6,6,6,5,4,5,5,4,4,6,6,2,5,5,5,6,6,5,4,2,5,1,5,4,2,2,6,3,3,5,5,4,4,4,5,4,5,5,4,4,6,4,6,4,5,3,3,2,2,5,5,2,2,4,3,1,22,,economic,,3,3,4,1,49.264007568359,-122.93690490723,-1,
R_3hax1iSeN0TTW93,Default Response Set,Anonymous,,,142.58.41.232,0,2017-09-26 17:18:46,2017-09-26 17:36:20,1,12,25234,1,81,1,2,4,6,2,6,4,6,5,4,5,2,2,5,1,5,2,4,4,4,4,5,4,2,5,5,3,4,5,5,4,6,6,6,2,1,6,6,4,3,6,2,6,5,4,2,4,6,4,4,6,1,2,4,4,4,7,7,7,5,7,7,4,7,4,6,4,7,2,1,7,6,5,6,5,5,4,4,4,6,6,2,6,5,3,5,4,5,5,4,5,5,5,5,5,7,7,7,5,2,4,4,4,2,3,6,7,4,4,4,5,2,20,italian,psychology,1,8,8,8,1,49.264007568359,-122.93690490723,-1,
R_Cdxgmkn8gquhsEp,Default Response Set,Anonymous,,,142.58.41.232,0,2017-09-28 10:21:23,2017-09-28 10:53:56,1,13,12369,1,50,1,5,6,5,2,5,6,3,5,1,6,4,2,2,2,5,5,2,5,2,5,6,4,4,6,4,5,6,4,5,3,6,3,4,5,2,5,6,4,5,3,6,5,5,6,5,6,5,5,2,6,1,2,4,2,4,7,7,5,6,6,5,6,3,5,2,6,6,1,2,3,6,6,5,4,4,2,3,3,4,6,3,3,2,4,5,1,5,4,1,4,5,5,5,4,4,5,4,5,1,3,4,3,4,3,5,5,5,4,5,5,2,18,"half persian, half fijian",psych,14,2,2,2,1,49.264007568359,-122.93690490723,-1,
R_BKhSyn1sUj2ESwV,Default Response Set,Anonymous,,,142.58.41.232,0,2017-09-28 10:55:07,2017-09-28 11:36:55,1,14,16983,1,75,1,6,5,5,4,3,6,4,3,4,5,2,2,3,2,6,5,4,2,4,2,4,2,5,5,2,6,4,4,7,4,5,5,5,3,1,5,5,1,4,1,4,5,5,5,4,3,5,5,5,2,1,3,4,4,3,7,7,7,1,6,4,6,5,6,5,6,5,1,2,6,6,6,7,5,2,5,1,1,5,5,4,5,2,2,3,5,5,3,4,3,3,5,5,5,6,6,6,5,2,2,3,1,2,1,7,5,7,3,7,6,2,17,Chinese,Psychology ,6,3,4,4,1,49.264007568359,-122.93690490723,-1,
R_rjRUF5Jt27EAEhj,Default Response Set,Anonymous,,,142.58.41.232,0,2017-09-28 11:38:26,2017-09-28 12:23:08,1,15,29323,1,42,1,6,4,3,3,5,2,4,5,1,6,2,2,4,2,3,2,2,5,2,4,5,4,2,2,2,2,4,2,5,2,3,3,5,4,3,6,5,5,3,1,2,3,4,5,5,5,3,2,2,5,1,2,2,4,3,7,7,4,5,6,5,7,5,6,4,6,6,5,5,6,5,3,6,5,3,4,2,3,4,3,2,5,4,3,4,3,5,5,5,4,4,4,4,4,4,7,4,1,3,3,4,3,4,3,3,3,2,3,2,2,2,19,caucasian,Psychology ,3,2,2,3,1,49.264007568359,-122.93690490723,-1,
R_pDTXlxEyq29MG5z,Default Response Set,Anonymous,,,142.58.41.232,0,2017-09-28 12:24:15,2017-09-28 12:48:04,1,16,39774,1,90,1,6,5,4,1,7,3,4,5,3,4,6,4,4,3,7,4,4,2,3,4,5,2,3,6,4,2,5,4,5,4,5,6,5,3,3,3,5,4,4,3,3,5,6,6,5,6,5,3,4,5,1,3,4,5,4,7,7,5,2,5,5,6,5,6,3,6,2,2,5,5,5,7,7,6,6,6,4,3,4,4,3,6,2,4,5,4,5,4,2,2,4,5,4,5,5,5,3,5,3,7,3,3,2,2,6,6,6,6,5,5,1,19,Asian,Psychology,1,8,8,8,4,49.264007568359,-122.93690490723,-1,
R_yR1GPT6z239tlnz,Default Response Set,Anonymous,,,142.58.41.232,0,2017-09-28 12:50:10,2017-09-28 13:13:51,1,17,91835,1,90,1,7,6,3,2,3,2,3,1,2,6,1,2,1,1,5,2,1,2,3,1,6,2,2,2,3,1,4,1,5,1,6,7,7,1,1,7,3,2,2,2,6,1,2,4,6,3,5,3,6,6,1,3,5,5,5,7,7,7,5,7,7,7,6,6,2,7,7,2,7,7,7,7,5,6,5,5,5,2,2,2,2,2,5,5,5,5,5,5,1,5,5,5,5,5,4,7,4,4,1,4,4,4,4,4,6,5,5,1,4,3,2,18,Persian,Criminology,2,4,8,8,3,49.264007568359,-122.93690490723,-1,
R_2Sp1CLHLRjDBaO4,Default Response Set,Anonymous,,,142.58.41.232,0,2017-09-28 13:15:04,2017-09-28 13:44:36,1,18,53159,1,11,1,5,6,4,3,3,2,2,4,4,7,4,4,2,2,6,4,2,2,6,2,4,4,4,2,4,1,4,2,5,1,6,6,6,1,2,5,5,5,5,5,5,6,5,5,4,4,5,4,2,5,1,3,4,3,3,6,5,7,7,6,7,6,6,5,5,5,7,6,7,6,6,5,5,5,5,6,6,6,6,6,6,6,5,4,3,4,4,5,5,5,5,3,4,5,6,6,2,6,2,2,4,4,4,4,4,3,4,4,4,4,1,20,caucasian,Criminology,6,8,9,9,4,49.264007568359,-122.93690490723,-1,
R_1LTFm0k4ms42UpB,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-02 10:12:23,2017-10-02 10:40:50,1,20,76170,1,77,1,6,6,4,4,4,5,4,5,4,4,5,4,5,3,5,5,4,4,3,4,4,5,5,4,5,4,4,4,4,3,6,6,6,5,2,6,4,4,4,3,6,4,4,5,5,4,6,6,6,3,1,3,3,5,4,7,7,6,5,4,6,5,4,6,1,5,4,2,6,6,4,5,4,6,5,5,4,3,2,2,3,5,3,3,4,4,4,3,2,4,5,4,5,5,6,6,6,2,3,5,4,3,3,2,5,5,4,3,4,3,2,18,Asian ,Psychology ,8,8,8,8,4,49.264007568359,-122.93690490723,-1,
R_1GOD7Kz16rhYK6u,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-02 10:42:15,2017-10-02 11:13:41,1,22,63289,1,40,1,5,5,6,1,5,1,1,5,2,5,5,3,1,4,7,2,6,6,2,4,6,3,2,4,4,1,5,4,4,2,7,7,7,2,1,5,5,4,3,4,4,4,5,4,5,4,6,6,4,5,1,2,4,3,3,6,7,5,5,6,7,6,4,4,5,4,7,1,7,4,7,7,7,4,4,4,4,4,4,4,1,5,3,4,4,4,4,4,4,4,4,4,4,4,5,5,6,5,5,2,4,4,3,3,4,3,1,1,5,5,2,18,South Asian,Behavioural Neuroscience,9,2,2,4,1,49.264007568359,-122.93690490723,-1,
R_sCfv3LCgeh3CdA5,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-02 10:15:32,2017-10-02 11:49:56,1,21,86527,1,29,1,5,5,3,3,6,3,5,5,3,6,2,2,1,4,5,3,4,4,3,4,5,3,2,5,3,5,3,3,3,5,6,7,6,6,1,3,3,2,3,2,5,2,5,3,3,2,6,5,5,3,1,3,4,2,2,3,7,5,6,6,5,5,2,4,3,6,5,2,2,5,5,3,5,3,3,4,3,3,2,5,1,2,2,2,4,4,4,5,1,4,4,5,5,4,5,4,4,7,3,3,4,4,3,2,5,7,1,2,5,5,2,20,Chinese,Criminology,6,2,2,8,1,49.264007568359,-122.93690490723,-1,
R_pugK4yoj42S4eDD,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-02 11:50:38,2017-10-02 12:17:11,1,24,87194,1,91,1,6,7,1,6,5,7,4,1,1,4,1,4,1,1,3,7,2,5,3,1,4,4,1,5,1,2,6,2,7,5,7,5,7,2,1,7,5,2,7,4,2,6,7,4,7,6,4,5,2,7,1,4,5,1,2,6,7,5,5,4,6,4,7,4,4,6,1,1,5,4,6,7,7,4,1,5,3,1,2,5,1,7,1,4,4,2,5,3,3,5,4,5,4,3,7,6,2,3,1,4,3,4,2,3,6,5,3,2,6,5,1,19,Iranian,Kinesiology,4,2,4,1,3,49.264007568359,-122.93690490723,-1,
R_r11suJXRGR4hEQ1,Default Response Set,Anonymous,,,142.58.41.202,0,2017-10-02 11:15:22,2017-10-02 12:17:37,1,23,61558,1,85,1,6,7,5,1,6,2,3,6,2,6,5,4,2,3,6,4,5,5,3,5,5,3,5,5,5,2,6,5,6,3,6,6,5,3,1,5,5,3,2,4,5,5,5,6,2,6,5,6,2,5,1,4,4,3,4,7,7,6,3,5,6,6,6,6,4,5,4,1,5,5,7,6,5,6,5,6,2,5,6,4,2,6,1,3,4,4,4,4,4,2,3,3,3,5,7,6,5,5,2,3,4,3,3,2,7,5,2,2,6,1,2,21,English/Chinese,Biology,8,2,3,2,1,49.264007568359,-122.93690490723,-1,
R_9pgPzCWPg5NBSI9,Default Response Set,Anonymous,,,142.58.41.232,0,2017-10-02 12:17:56,2017-10-02 12:44:45,1,25,79446,1,75,1,4,5,2,3,5,4,3,2,2,4,2,1,3,5,4,3,3,4,4,5,4,5,3,5,5,5,5,4,6,3,4,5,7,2,1,4,6,1,2,5,3,6,4,4,3,5,5,3,4,5,1,4,3,3,4,7,7,7,4,4,2,4,5,4,5,5,4,2,4,4,5,4,5,4,4,6,3,2,5,5,3,5,3,2,3,3,5,4,5,5,4,5,5,5,6,6,6,2,6,7,4,2,3,2,7,4,4,6,6,5,2,18,causasian ,Psychology,10,2,4,2,1,49.264007568359,-122.93690490723,-1,
