V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,cond,pid,pcode,Q22,happy,Q63,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,tol1,tol2,tol3,tol4,tol5,obese1,obese2,obese3,obese4,obese5,obese6,obese7,obese8,obese9,obese10,obese11,obese12,obese13,obese14,obese15,Q89,wealthatt1,wealthatt2,wealthatt3,wealthatt4,finsit1,finsit2,finsit3,finsit4,finsit5,finsit6,finsit7,finsit8,finsit9,finsit10,finsit11,finsit12,finsit13,finsit14,finsit15,crime1,crime2,crime3,crime4,crime5,crime6,crime7,crime8,crime9,crime10,crime11,crime12,causeineq1,causeineq2,causeineq3,causeineq4,causeineq5,causeineq6,causeineq7,causeineq8,causeineq9,causeineq10,causeineq11,causeineq12,causal1,causal2,causal3,causal4,causal5,causal6,redist1,redist2,redist3,redist4,merit1,merit2,merit3,merit4,merit5,merit6,gender,age,ethnicity,major,income,ideology,soc.iss,econ.iss,partyid,time
R_1FstlZU5vBxzF3b,Default Response Set,Anonymous,,,142.58.41.232,0,26/09/2017 16:31,26/09/2017 17:17,1,1,11,95837,1,75,1,4,5,3,2,6,2,2,5,2,4,3,3,1,4,5,3,3,2,2,5,5,2,2,3,2,1,4,3,1,1,4,4,4,3,3,6,5,2,2,1,3,1,3,3,5,5,4,5,5,5,1,4,4,4,2,6,6,6,5,4,5,5,4,4,6,6,2,5,5,5,6,6,5,4,2,5,1,5,4,2,2,6,3,3,5,5,4,4,4,5,4,5,5,4,4,6,4,6,4,5,3,3,2,2,5,5,2,2,4,3,1,22,,economic,,3,3,4,1,1
R_3hax1iSeN0TTW93,Default Response Set,Anonymous,,,142.58.41.232,0,26/09/2017 17:18,26/09/2017 17:36,1,2,12,25234,1,81,1,2,4,6,2,6,4,6,5,4,5,2,2,5,1,5,2,4,4,4,4,5,4,2,5,5,3,4,5,5,4,6,6,6,2,1,6,6,4,3,6,2,6,5,4,2,4,6,4,4,6,1,2,4,4,4,7,7,7,5,7,7,4,7,4,6,4,7,2,1,7,6,5,6,5,5,4,4,4,6,6,2,6,5,3,5,4,5,5,4,5,5,5,5,5,7,7,7,5,2,4,4,4,2,3,6,7,4,4,4,5,2,20,italian,psychology,1,8,8,8,1,1
R_Cdxgmkn8gquhsEp,Default Response Set,Anonymous,,,142.58.41.232,0,28/09/2017 10:21,28/09/2017 10:53,1,2,13,12369,1,50,1,5,6,5,2,5,6,3,5,1,6,4,2,2,2,5,5,2,5,2,5,6,4,4,6,4,5,6,4,5,3,6,3,4,5,2,5,6,4,5,3,6,5,5,6,5,6,5,5,2,6,1,2,4,2,4,7,7,5,6,6,5,6,3,5,2,6,6,1,2,3,6,6,5,4,4,2,3,3,4,6,3,3,2,4,5,1,5,4,1,4,5,5,5,4,4,5,4,5,1,3,4,3,4,3,5,5,5,4,5,5,2,18,"half persian, half fijian",psych,14,2,2,2,1,1
R_BKhSyn1sUj2ESwV,Default Response Set,Anonymous,,,142.58.41.232,0,28/09/2017 10:55,28/09/2017 11:36,1,2,14,16983,1,75,1,6,5,5,4,3,6,4,3,4,5,2,2,3,2,6,5,4,2,4,2,4,2,5,5,2,6,4,4,7,4,5,5,5,3,1,5,5,1,4,1,4,5,5,5,4,3,5,5,5,2,1,3,4,4,3,7,7,7,1,6,4,6,5,6,5,6,5,1,2,6,6,6,7,5,2,5,1,1,5,5,4,5,2,2,3,5,5,3,4,3,3,5,5,5,6,6,6,5,2,2,3,1,2,1,7,5,7,3,7,6,2,17,Chinese,Psychology ,6,3,4,4,1,1
R_rjRUF5Jt27EAEhj,Default Response Set,Anonymous,,,142.58.41.232,0,28/09/2017 11:38,28/09/2017 12:23,1,1,15,29323,1,42,1,6,4,3,3,5,2,4,5,1,6,2,2,4,2,3,2,2,5,2,4,5,4,2,2,2,2,4,2,5,2,3,3,5,4,3,6,5,5,3,1,2,3,4,5,5,5,3,2,2,5,1,2,2,4,3,7,7,4,5,6,5,7,5,6,4,6,6,5,5,6,5,3,6,5,3,4,2,3,4,3,2,5,4,3,4,3,5,5,5,4,4,4,4,4,4,7,4,1,3,3,4,3,4,3,3,3,2,3,2,2,2,19,caucasian,Psychology ,3,2,2,3,1,1
R_pDTXlxEyq29MG5z,Default Response Set,Anonymous,,,142.58.41.232,0,28/09/2017 12:24,28/09/2017 12:48,1,2,16,39774,1,90,1,6,5,4,1,7,3,4,5,3,4,6,4,4,3,7,4,4,2,3,4,5,2,3,6,4,2,5,4,5,4,5,6,5,3,3,3,5,4,4,3,3,5,6,6,5,6,5,3,4,5,1,3,4,5,4,7,7,5,2,5,5,6,5,6,3,6,2,2,5,5,5,7,7,6,6,6,4,3,4,4,3,6,2,4,5,4,5,4,2,2,4,5,4,5,5,5,3,5,3,7,3,3,2,2,6,6,6,6,5,5,1,19,Asian,Psychology,1,8,8,8,4,1
R_yR1GPT6z239tlnz,Default Response Set,Anonymous,,,142.58.41.232,0,28/09/2017 12:50,28/09/2017 13:13,1,1,17,91835,1,90,1,7,6,3,2,3,2,3,1,2,6,1,2,1,1,5,2,1,2,3,1,6,2,2,2,3,1,4,1,5,1,6,7,7,1,1,7,3,2,2,2,6,1,2,4,6,3,5,3,6,6,1,3,5,5,5,7,7,7,5,7,7,7,6,6,2,7,7,2,7,7,7,7,5,6,5,5,5,2,2,2,2,2,5,5,5,5,5,5,1,5,5,5,5,5,4,7,4,4,1,4,4,4,4,4,6,5,5,1,4,3,2,18,Persian,Criminology,2,4,8,8,3,1
R_2Sp1CLHLRjDBaO4,Default Response Set,Anonymous,,,142.58.41.232,0,28/09/2017 13:15,28/09/2017 13:44,1,2,18,53159,1,11,1,5,6,4,3,3,2,2,4,4,7,4,4,2,2,6,4,2,2,6,2,4,4,4,2,4,1,4,2,5,1,6,6,6,1,2,5,5,5,5,5,5,6,5,5,4,4,5,4,2,5,1,3,4,3,3,6,5,7,7,6,7,6,6,5,5,5,7,6,7,6,6,5,5,5,5,6,6,6,6,6,6,6,5,4,3,4,4,5,5,5,5,3,4,5,6,6,2,6,2,2,4,4,4,4,4,3,4,4,4,4,1,20,caucasian,Criminology,6,8,9,9,4,1
R_CdhgdMf6I8o7KKJ,Default Response Set,Anonymous,,,142.58.41.232,0,28/09/2017 13:45,28/09/2017 14:16,0,1,19,20924,1,83,1,6,6,4,3,4,3,3,5,2,4,1,4,2,1,3,5,5,2,3,1,6,3,3,5,2,6,5,3,5,2,5,6,5,3,2,5,6,4,2,1,2,5,3,4,5,3,5,5,5,5,1,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
R_1LTFm0k4ms42UpB,Default Response Set,Anonymous,,,142.58.41.202,0,02/10/2017 10:12,02/10/2017 10:40,1,1,20,76170,1,77,1,6,6,4,4,4,5,4,5,4,4,5,4,5,3,5,5,4,4,3,4,4,5,5,4,5,4,4,4,4,3,6,6,6,5,2,6,4,4,4,3,6,4,4,5,5,4,6,6,6,3,1,3,3,5,4,7,7,6,5,4,6,5,4,6,1,5,4,2,6,6,4,5,4,6,5,5,4,3,2,2,3,5,3,3,4,4,4,3,2,4,5,4,5,5,6,6,6,2,3,5,4,3,3,2,5,5,4,3,4,3,2,18,Asian ,Psychology ,8,8,8,8,4,1
R_sCfv3LCgeh3CdA5,Default Response Set,Anonymous,,,142.58.41.232,0,02/10/2017 10:15,02/10/2017 11:49,1,1,21,86527,1,29,1,5,5,3,3,6,3,5,5,3,6,2,2,1,4,5,3,4,4,3,4,5,3,2,5,3,5,3,3,3,5,6,7,6,6,1,3,3,2,3,2,5,2,5,3,3,2,6,5,5,3,1,3,4,2,2,3,7,5,6,6,5,5,2,4,3,6,5,2,2,5,5,3,5,3,3,4,3,3,2,5,1,2,2,2,4,4,4,5,1,4,4,5,5,4,5,4,4,7,3,3,4,4,3,2,5,7,1,2,5,5,2,20,Chinese,Criminology,6,2,2,8,1,1
R_1GOD7Kz16rhYK6u,Default Response Set,Anonymous,,,142.58.41.202,0,02/10/2017 10:42,02/10/2017 11:13,1,1,22,63289,1,40,1,5,5,6,1,5,1,1,5,2,5,5,3,1,4,7,2,6,6,2,4,6,3,2,4,4,1,5,4,4,2,7,7,7,2,1,5,5,4,3,4,4,4,5,4,5,4,6,6,4,5,1,2,4,3,3,6,7,5,5,6,7,6,4,4,5,4,7,1,7,4,7,7,7,4,4,4,4,4,4,4,1,5,3,4,4,4,4,4,4,4,4,4,4,4,5,5,6,5,5,2,4,4,3,3,4,3,1,1,5,5,2,18,South Asian,Behavioural Neuroscience,9,2,2,4,1,1
R_r11suJXRGR4hEQ1,Default Response Set,Anonymous,,,142.58.41.202,0,02/10/2017 11:15,02/10/2017 12:17,1,2,23,61558,1,85,1,6,7,5,1,6,2,3,6,2,6,5,4,2,3,6,4,5,5,3,5,5,3,5,5,5,2,6,5,6,3,6,6,5,3,1,5,5,3,2,4,5,5,5,6,2,6,5,6,2,5,1,4,4,3,4,7,7,6,3,5,6,6,6,6,4,5,4,1,5,5,7,6,5,6,5,6,2,5,6,4,2,6,1,3,4,4,4,4,4,2,3,3,3,5,7,6,5,5,2,3,4,3,3,2,7,5,2,2,6,1,2,21,English/Chinese,Biology,8,2,3,2,1,1
R_pugK4yoj42S4eDD,Default Response Set,Anonymous,,,142.58.41.232,0,02/10/2017 11:50,02/10/2017 12:17,1,2,24,87194,1,91,1,6,7,1,6,5,7,4,1,1,4,1,4,1,1,3,7,2,5,3,1,4,4,1,5,1,2,6,2,7,5,7,5,7,2,1,7,5,2,7,4,2,6,7,4,7,6,4,5,2,7,1,4,5,1,2,6,7,5,5,4,6,4,7,4,4,6,1,1,5,4,6,7,7,4,1,5,3,1,2,5,1,7,1,4,4,2,5,3,3,5,4,5,4,3,7,6,2,3,1,4,3,4,2,3,6,5,3,2,6,5,1,19,Iranian,Kinesiology,4,2,4,1,3,1
R_9pgPzCWPg5NBSI9,Default Response Set,Anonymous,,,142.58.41.232,0,02/10/2017 12:17,02/10/2017 12:44,1,2,25,79446,1,75,1,4,5,2,3,5,4,3,2,2,4,2,1,3,5,4,3,3,4,4,5,4,5,3,5,5,5,5,4,6,3,4,5,7,2,1,4,6,1,2,5,3,6,4,4,3,5,5,3,4,5,1,4,3,3,4,7,7,7,4,4,2,4,5,4,5,5,4,2,4,4,5,4,5,4,4,6,3,2,5,5,3,5,3,2,3,3,5,4,5,5,4,5,5,5,6,6,6,2,6,7,4,2,3,2,7,4,4,6,6,5,2,18,causasian ,Psychology,10,2,4,2,1,1
R_2QrIkAB0ygiIH6c,Default Response Set,Anonymous,,,142.58.41.202,0,02/10/2017 12:18,02/10/2017 12:46,1,2,26,36254,1,61,1,5,5,4,3,5,3,3,4,2,5,2,3,3,4,5,4,6,3,3,3,4,3,4,4,4,3,4,4,5,5,5,4,6,4,3,4,3,4,4,2,5,2,2,3,3,3,3,4,5,2,1,3,2,2,4,5,6,4,6,4,5,4,4,4,5,5,3,3,5,3,4,5,6,5,5,5,3,2,5,3,4,4,2,3,3,3,4,3,3,4,4,5,4,4,5,5,6,4,4,4,3,4,3,3,5,5,3,3,4,3,1,20,African,Psychology,3,3,4,4,1,1
R_2CUIWAxw3zsxjBX,Default Response Set,Anonymous,,,142.58.41.232,0,02/10/2017 12:45,02/10/2017 13:09,1,2,27,63440,1,70,1,4,4,4,3,4,5,3,5,2,4,2,2,2,1,2,3,2,4,2,4,4,2,2,4,4,2,4,2,3,1,5,6,5,4,1,4,2,4,3,3,5,3,3,5,5,1,5,5,5,5,1,3,3,3,4,6,6,4,3,4,4,4,2,3,6,4,4,1,2,3,4,4,4,5,4,3,6,3,5,5,3,5,4,2,5,3,4,3,3,4,2,3,4,4,3,7,3,7,2,4,4,4,3,4,4,4,3,3,5,3,2,20,Indian ,Health Scienes,1,8,9,9,4,1
R_2bNUMVbg4O9G4CE,Default Response Set,Anonymous,,,142.58.41.202,0,02/10/2017 12:47,02/10/2017 13:06,1,2,28,57114,1,61,1,3,4,5,3,5,2,2,3,3,5,2,3,2,2,4,3,6,3,2,5,4,3,4,5,2,3,3,3,5,5,6,4,6,5,1,5,5,2,5,2,5,5,5,5,3,5,5,4,4,5,1,2,3,4,3,5,6,5,4,5,5,5,4,4,2,2,4,4,5,5,5,6,5,5,5,4,5,2,4,5,6,5,4,4,4,4,4,4,4,3,4,4,4,4,5,5,5,6,5,4,4,4,4,4,3,2,2,3,3,2,2,20,Chinese,Education ,2,6,5,4,2,1
R_3G0MjOw8OAgR5YC,Default Response Set,Anonymous,,,142.58.41.232,0,02/10/2017 13:10,02/10/2017 13:56,1,1,29,57865,1,15,1,5,4,4,4,3,3,5,3,2,3,4,3,2,2,6,2,4,2,2,3,3,2,3,3,2,3,5,4,6,4,5,4,4,4,2,2,6,2,7,1,5,6,5,2,5,6,3,2,1,2,1,3,4,4,3,6,7,5,5,4,3,3,4,4,4,4,5,3,2,5,4,5,3,5,4,6,2,3,4,3,1,2,4,2,4,2,5,4,3,4,4,4,5,4,3,6,2,5,3,4,4,3,3,2,5,5,6,4,4,6,1,20,Chinese,Business,1,8,8,8,4,1
R_rqf27G9GPk5CmiZ,Default Response Set,Anonymous,,,142.58.41.232,0,02/10/2017 13:57,02/10/2017 14:16,1,2,30,16633,1,20,1,5,5,3,3,5,3,3,5,5,5,3,2,4,4,5,3,5,3,3,4,5,2,5,6,3,3,2,3,6,5,5,5,6,3,1,5,6,3,5,3,3,6,3,5,5,6,3,5,3,5,1,4,4,4,4,7,7,6,6,6,6,6,5,5,5,6,6,7,7,6,5,6,7,5,5,5,5,4,5,6,5,5,4,4,4,4,3,4,4,4,4,3,4,4,3,6,3,4,2,3,3,3,2,2,6,5,3,3,5,5,2,19,chinese,psyc,1,3,3,4,1,1
R_27rQYX1fsroZkHb,Default Response Set,Anonymous,,,142.58.41.232,0,02/10/2017 14:17,02/10/2017 14:43,1,2,31,62606,1,45,1,5,6,2,3,5,2,4,3,2,5,2,2,1,1,6,2,1,2,1,2,6,2,2,4,1,2,4,2,3,1,4,7,6,3,2,4,6,2,3,3,2,7,5,1,4,4,4,2,4,6,1,3,4,2,3,7,7,4,6,7,4,5,7,7,6,4,4,1,2,4,4,5,5,5,4,2,4,2,4,5,2,5,3,3,5,3,3,5,4,5,3,5,5,5,5,7,3,7,1,4,4,4,3,3,7,6,6,4,5,4,2,19,Vietnamese,Environmental Science,3,4,4,8,1,1
R_1Flx5sbOXNQN3Q5,Default Response Set,Anonymous,,,142.58.41.232,0,02/10/2017 14:44,02/10/2017 16:14,1,1,32,13394,1,22,1,4,6,3,4,2,3,3,7,1,6,1,2,3,2,6,5,7,3,3,4,5,2,2,4,2,2,5,2,3,2,7,7,7,2,1,2,7,2,2,2,3,6,3,3,4,4,6,6,5,2,1,2,2,4,4,7,7,7,7,7,7,7,7,7,7,6,7,4,7,7,6,5,4,6,5,5,5,2,4,4,2,7,5,5,5,5,5,5,5,5,5,5,5,5,7,7,4,4,2,3,4,4,3,3,6,4,3,2,5,5,2,18,Indian,Undecided,1,8,8,8,3,1
R_3PtuDzwBwpe0SF3,Default Response Set,Anonymous,,,142.58.41.232,0,02/10/2017 16:25,02/10/2017 16:49,1,2,33,44463,1,77,1,6,6,2,3,2,1,2,2,1,6,2,2,1,2,6,2,6,3,7,2,4,2,1,1,2,2,4,2,6,2,5,6,6,2,2,6,3,4,4,1,4,2,3,3,5,3,5,2,4,6,1,1,4,4,4,4,4,4,6,5,6,6,3,5,6,5,4,1,4,2,3,5,4,6,6,4,5,1,2,3,2,2,5,4,5,5,5,4,5,2,2,2,2,3,6,3,5,4,5,4,4,4,3,3,4,5,2,2,3,3,1,20,Caucasian,Cognitive Science,4,2,2,2,1,1
R_3PYq0qwaXg6aS0U,Default Response Set,Anonymous,,,142.58.41.232,0,02/10/2017 16:50,02/10/2017 17:21,1,2,34,62158,1,89,1,6,5,6,4,4,7,5,3,7,6,3,5,3,5,5,5,3,4,3,3,4,4,3,6,3,4,2,5,6,5,5,6,6,3,2,5,5,4,5,3,7,5,6,5,5,6,6,6,5,3,1,1,3,4,4,7,6,5,7,7,2,5,3,6,3,5,6,4,3,5,6,5,3,5,4,5,2,4,5,5,3,3,3,1,4,4,4,4,1,5,4,5,5,5,7,4,6,3,2,4,4,3,3,3,5,5,5,5,6,5,2,18,Chinese,Criminology,2,2,2,2,1,1
R_21yqlLwYqBN8Uqt,Default Response Set,Anonymous,,,142.58.41.232,0,02/10/2017 17:23,02/10/2017 17:59,1,1,35,52252,1,30,1,6,6,4,3,4,3,4,3,2,5,4,3,2,3,5,6,5,4,4,5,4,3,2,5,2,1,4,2,3,3,3,5,4,3,2,6,5,4,3,3,5,4,4,6,5,4,3,3,5,6,1,4,2,3,4,4,5,5,5,5,4,5,3,4,5,4,5,4,5,6,5,5,2,5,5,4,3,3,5,4,2,4,4,3,4,4,4,4,4,3,3,4,4,4,4,7,5,4,4,5,3,3,2,2,4,5,4,4,4,5,1,19,White,Economics,15,5,5,4,2,1
R_1FqSg36rT3Mo1vW,Default Response Set,Anonymous,,,142.58.41.232,0,02/10/2017 18:00,02/10/2017 19:04,1,1,36,94563,1,70,1,5,5,4,4,6,2,4,5,2,5,4,4,4,3,5,2,4,4,3,3,4,5,4,4,1,4,4,4,4,3,4,5,5,4,2,4,5,4,3,3,4,5,4,4,5,5,5,4,4,5,1,3,4,3,3,7,7,7,4,4,6,5,7,5,5,5,5,1,5,7,4,5,6,5,4,4,1,4,4,7,1,5,2,4,4,5,5,4,2,5,3,5,5,5,4,4,4,4,4,4,4,2,3,2,4,4,7,3,7,7,1,18,Korean,English,6,4,4,4,4,1
R_1d6vTWzeX3NNmCW,Default Response Set,Anonymous,,,142.58.41.208,0,02/10/2017 19:04,02/10/2017 19:27,1,1,37,82280,1,71,1,4,5,3,3,5,3,3,3,2,5,3,5,3,2,2,3,4,3,3,3,4,2,4,2,2,3,2,2,4,4,3,4,5,4,2,5,5,3,2,2,3,6,4,4,5,6,3,3,1,5,1,2,3,4,4,5,7,7,7,4,4,5,5,4,4,5,2,1,5,4,5,5,5,5,5,6,3,5,4,4,3,6,3,3,3,2,3,3,1,5,3,5,5,4,2,6,6,3,4,4,3,3,3,3,6,5,4,3,4,4,1,18,caucasian,criminology,,3,3,3,1,1
R_3dM07p9VycKccjm,Default Response Set,Anonymous,,,142.58.41.232,0,02/10/2017 19:11,02/10/2017 19:37,1,2,38,36454,1,30,1,7,2,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,6,6,3,2,2,6,4,4,4,4,4,5,6,4,4,6,4,4,1,4,1,3,3,4,4,6,4,4,5,6,5,5,3,5,3,5,5,4,1,3,1,4,4,5,1,4,4,3,4,5,1,6,1,5,4,3,4,4,3,2,4,4,3,4,5,6,3,6,2,4,4,3,4,4,7,6,3,6,7,2,1,18,Fijian,Psychology,10,2,2,3,1,1
R_3EsSw1M9ls0JX4Z,Default Response Set,Anonymous,,,142.58.41.232,0,03/10/2017 14:20,03/10/2017 14:46,1,2,39,67327,1,49,1,4,6,1,5,4,6,2,1,5,7,1,4,1,2,4,7,5,2,5,1,4,6,4,6,2,5,5,5,6,3,2,2,7,5,5,6,7,2,3,7,4,7,5,5,6,7,4,4,5,6,1,4,4,4,4,7,7,7,6,6,6,4,6,7,2,7,4,1,1,6,6,7,6,5,4,5,3,1,7,7,7,6,4,3,4,4,4,4,4,2,4,5,4,5,6,4,5,6,2,6,4,3,4,2,7,5,7,7,7,7,1,18,Indian,Engineering Science,4,4,3,4,4,1
R_26mbVNm5KzvzEnl,Default Response Set,Anonymous,,,142.58.41.232,0,03/10/2017 14:47,03/10/2017 15:28,1,1,40,29901,1,40,1,6,6,3,1,6,1,4,1,2,6,4,2,1,2,4,3,1,5,4,2,6,5,4,3,2,4,6,2,5,2,5,4,6,2,1,6,6,2,2,2,2,6,5,5,6,5,3,5,2,6,1,3,2,4,3,6,6,6,5,6,6,6,4,6,4,4,7,2,4,7,5,2,5,4,2,3,2,2,4,2,1,7,5,3,4,3,5,5,4,5,3,4,3,5,7,5,4,7,5,3,3,3,3,2,2,2,5,2,4,3,2,19,South-Asian,Criminology,8,2,2,3,3,1
