,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,condition,Q22,happy,Q3,reason1,reason2,reason3,reason4,reason5,reason6,reason7,reason8,reason9,reason10,reason11,reason12,Q63,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,tol1,tol2,tol3,tol4,tol5,tol6,tol7,tol8,tol9,redist1,redist2,redist3,redist4,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,emp21,gender,age,ethnicity,major,income,ideology,soc.iss,econ.iss,partyID
R_Y2ZtftwNxDLp3tT,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2023 9:33,17/02/2023 10:43,1,29,2,1,30,1,2,2,3,1,5,5,4,5,5,4,3,4,1,7,6,2,3,6,3,2,3,2,6,2,2,1,1,7,3,2,3,1,2,4,2,2,2,2,2,5,2,5,1,6,6,6,6,2,2,2,2,6,4,4,3,4,5,1,2,5,5,5,3,5,4,1,2,4,1,3,4,5,5,1,4,2,4,2,19,Chinese,Psychology,5,8,8,8,4
R_3OdZzI9aQGLCOma,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2023 10:45,17/02/2023 11:19,1,30,1,1,50,1,2,2,4,3,1,2,3,5,4,3,3,3,1,5,4,6,2,4,2,3,6,2,5,5,4,3,4,3,2,4,5,2,6,5,5,2,5,5,5,5,5,5,2,6,6,6,6,3,1,1,1,5,4,3,4,3,5,2,4,2,5,5,1,4,4,2,1,2,1,4,4,5,4,2,4,1,4,2,20,Ukrainian/French Canadian,BSc Health Science,8,3,3,4,1
R_1Iv0YFVdXEo3wD4,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2023 11:23,17/02/2023 12:11,1,31,1,1,60,1,2,2,4,4,4,3,3,3,2,4,2,4,1,6,5,5,3,5,6,5,2,3,5,5,3,2,3,5,5,6,5,3,2,6,3,3,6,2,5,3,3,5,5,5,3,3,3,5,3,5,5,3,3,2,3,2,4,2,2,4,2,4,4,4,4,2,4,4,2,4,4,4,3,2,2,2,2,1,20,Asian,Criminology,4,3,2,6,1
R_2U0hbFNDvLn1mPQ,Default Response Set,Anonymous,,,142.58.41.232,0,17/02/2023 12:42,17/02/2023 12:52,1,32,1,1,50,1,3,3,4,2,2,2,4,4,4,3,3,3,1,4,6,3,3,4,4,4,3,4,6,4,3,4,2,5,4,6,4,3,5,5,5,5,4,3,3,5,4,5,2,5,6,6,6,3,2,2,2,6,3,3,3,3,5,2,2,2,4,4,4,4,2,3,2,4,2,2,4,4,4,3,3,2,4,2,18,Filipino,Psychology,3,2,2,2,1
R_2X7p82IRfEc7yEX,Default Response Set,Anonymous,,,142.58.41.232,0,17/02/2023 12:58,17/02/2023 14:06,1,33,2,1,50,1,1,2,3,2,4,4,3,4,4,4,4,4,1,6,5,4,4,5,6,4,2,2,4,3,3,4,2,5,4,5,3,3,3,5,2,3,5,2,5,6,4,5,3,4,5,5,5,4,3,3,3,5,3,2,3,2,4,3,2,2,5,4,4,5,3,3,2,4,2,4,3,4,4,2,4,2,3,2,18,Korean,Criminology,,8,8,8,
R_5hAWwEdA4LuAPUl,Default Response Set,Anonymous,,,142.58.41.232,0,17/02/2023 14:09,17/02/2023 15:18,1,34,2,1,50,1,2,2,1,1,4,3,1,2,2,3,3,3,1,6,4,2,2,5,2,3,5,3,4,4,2,4,2,4,6,5,2,4,3,3,2,4,5,2,2,4,2,3,2,5,5,6,6,4,2,2,2,4,4,4,3,2,1,1,2,1,4,2,1,1,5,4,2,1,3,5,3,5,1,1,5,1,5,2,20,Asian,business,15,3,5,5,4
R_2QGSGuemMmlnj5P,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2023 15:21,17/02/2023 15:35,1,35,2,1,81,1,2,3,4,2,4,4,5,4,5,3,3,3,1,5,4,6,2,4,2,5,4,3,6,4,5,3,3,3,4,6,5,5,5,3,6,3,5,5,2,5,4,5,3,5,5,6,5,3,2,4,2,5,3,4,3,2,4,2,3,4,3,4,5,4,3,2,2,4,3,3,4,4,2,3,3,3,3,2,19,Caucasian,English,6,4,3,5,1
R_2P5aX0V1G0hBgaq,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2024 10:41,17/02/2024 12:16,1,36,1,1,75,1,3,2,3,2,4,3,3,4,3,3,3,3,1,6,5,4,4,5,3,4,4,3,4,4,3,2,3,4,3,4,4,3,4,5,6,4,6,3,4,4,5,6,4,6,6,6,6,4,2,3,2,6,3,3,3,3,3,3,2,4,4,4,4,4,3,2,3,4,2,3,4,4,5,3,4,4,4,2,23,Asian,Health Sciences,15,2,,2,1
R_1ir2BTwR1BoBRHW,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2024 12:19,17/02/2024 12:50,1,37,1,1,70,1,3,3,5,2,2,3,4,3,4,3,2,3,1,5,4,5,2,4,3,3,5,4,5,6,6,3,5,6,4,2,6,3,6,5,5,4,5,5,2,2,5,5,4,5,4,4,3,5,2,3,3,4,3,3,3,2,2,2,4,3,3,4,4,3,4,4,4,3,3,4,3,2,2,2,3,2,4,2,19,asian,criminology,6,8,8,8,3
R_yDwQz65NaM5R2Uh,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2024 12:53,17/02/2024 13:19,1,38,2,1,40,1,2,1,2,1,3,3,4,4,5,3,4,3,1,4,7,4,2,5,2,3,5,1,6,4,6,1,1,5,2,2,5,6,1,4,4,2,5,1,1,2,3,5,1,5,6,6,7,1,1,1,1,7,4,3,3,3,5,2,4,5,4,3,4,2,4,2,4,5,2,4,4,4,5,2,5,2,5,2,19,caucasion,Cognitive Science,8,9,7,1,4
R_3fMFrMlz5i1PiTA,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2024 13:21,17/02/2024 13:51,1,39,1,1,61,1,3,1,3,3,3,2,3,2,4,4,2,2,1,5,4,4,6,3,5,4,1,3,5,2,3,4,3,3,4,4,3,3,4,4,3,2,2,2,4,3,3,5,1,6,5,7,6,4,3,3,3,5,4,3,4,2,4,3,3,3,2,4,3,2,3,3,2,2,2,4,3,3,3,2,2,2,3,1,20,Muslim,Criminology ,6,8,8,8,1
R_12lNjTF6saK9cz7,Default Response Set,Anonymous,,,142.58.41.202,0,17/02/2024 13:52,17/02/2024 14:12,1,40,2,1,95,1,1,1,2,1,4,3,4,5,4,3,4,4,1,7,6,4,5,4,5,2,5,2,7,2,4,3,1,1,2,4,5,2,5,6,2,1,4,3,1,5,2,5,1,7,7,7,7,1,1,1,1,7,4,4,3,2,4,1,1,5,4,5,4,4,5,2,2,5,1,4,3,4,4,2,3,2,5,2,19,Sikh,Health Science,7,8,8,8,1
R_vH8lmgeFotzzKnf,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2002 9:53,17/03/2002 10:46,1,41,2,1,30,1,3,4,4,3,4,5,5,5,2,5,3,5,1,5,5,4,4,6,5,2,7,6,5,3,4,1,4,7,4,4,5,2,5,4,5,1,5,5,5,4,5,5,3,6,7,7,7,5,3,4,4,7,4,4,4,4,5,3,1,3,4,5,5,5,3,1,5,5,3,5,5,5,5,3,4,5,5,2,18,Filipino,Business,5,2,2,2,1
R_3D1LgJLn07LpRz4,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2002 10:48,17/03/2002 11:25,1,42,1,1,52,1,2,2,2,2,2,2,,3,,3,3,3,1,2,7,4,5,5,7,5,3,2,,4,2,,2,4,4,5,4,5,2,4,3,2,3,4,4,4,4,4,3,,4,5,5,4,3,3,3,4,4,4,3,3,5,2,3,4,5,4,4,3,2,2,4,3,1,3,4,4,3,3,2,3,4,2,18,south asain,criminology,8,2,2,2,1
R_AO7xHKS6PFC05pL,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2002 11:26,17/03/2002 11:45,1,43,1,1,61,1,2,1,2,2,3,3,2,3,4,3,3,4,1,5,6,4,2,5,4,5,5,2,6,3,4,3,2,6,3,5,5,5,3,5,2,2,3,3,3,4,3,5,1,5,6,6,5,3,1,1,1,5,4,3,3,2,4,2,3,2,4,4,2,3,5,3,4,2,2,4,2,4,2,2,4,2,3,2,19,White,Behavioural Neuroscience,10,2,2,3,1
R_xxyFibiNfyEC8g1,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2002 11:46,17/03/2002 12:18,1,44,1,1,82,1,3,3,4,5,4,4,4,3,5,4,3,3,1,4,6,2,3,5,1,1,4,3,5,1,1,2,2,3,3,5,4,3,2,4,2,4,6,2,6,6,5,7,4,6,4,7,6,4,1,2,2,4,4,4,3,2,5,3,1,3,4,5,4,3,2,2,2,5,2,4,3,5,4,2,3,3,2,2,18,Chinese,Criminology,12,8,8,8,1
R_1CxWFMxkPIgUAjl,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2002 12:28,17/03/2002 12:45,1,45,2,1,92,1,2,3,4,4,4,3,4,4,4,4,4,4,1,6,2,6,2,5,5,3,6,2,6,3,2,2,3,6,2,3,5,3,6,5,5,3,5,5,2,6,5,5,2,6,5,7,7,2,1,1,1,6,4,4,3,4,5,1,1,4,5,5,4,5,2,1,1,4,1,4,5,5,5,2,4,2,5,2,20,East Indian,Health Sciences ,11,3,2,2,1
R_2rTS1bue4S7FrTB,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2002 14:19,17/03/2002 14:26,1,47,2,1,40,1,1,1,2,1,4,5,4,5,5,5,5,5,1,6,7,3,1,6,2,2,4,1,6,5,4,1,1,6,2,4,5,2,4,6,2,1,2,2,1,4,2,3,1,7,7,7,7,2,1,2,2,6,4,4,3,3,5,1,1,4,4,4,4,4,2,1,2,4,1,3,4,4,4,4,4,3,4,2,18,Indian,Criminology,9,1,1,2,1
R_3HLxlxUkxHGU28M,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2002 14:51,17/03/2002 15:02,1,48,2,1,40,1,2,3,1,2,3,4,5,5,5,4,3,4,1,6,5,5,3,4,2,4,3,3,5,3,4,1,2,5,4,1,2,3,3,5,4,5,4,3,1,4,3,5,2,6,7,6,7,1,1,2,2,6,4,4,3,3,4,2,3,5,4,4,4,5,1,2,1,5,2,3,4,5,4,3,4,3,4,1,23,Caucasian,Kinesiology,2,2,3,1,2
R_1GJ1vxjfg3mMFT3,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2002 15:17,17/03/2002 15:25,1,49,1,1,72,1,2,1,3,1,5,,5,5,5,5,4,4,1,7,6,6,5,5,7,3,6,1,6,5,3,5,3,6,2,4,2,1,2,6,3,3,6,5,6,6,5,7,1,7,7,7,7,6,3,1,6,6,4,4,4,4,5,4,1,4,5,5,5,4,2,2,2,5,1,5,5,5,5,5,5,5,5,2,18,south asian ,criminology,1,1,1,1,1
R_1ezYut8ucwCLBMD,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2003 10:41,17/03/2003 11:19,1,50,1,1,75,1,2,2,2,2,3,3,4,3,3,4,3,3,1,5,4,3,3,5,3,3,4,3,5,3,2,3,4,4,4,3,3,3,3,5,4,2,4,4,5,4,5,3,4,5,6,6,4,4,3,4,4,4,3,3,3,3,,3,2,3,4,3,3,4,3,2,2,3,1,,3,4,4,2,3,2,3,2,19,English ,Kinesiology ,2,3,2,3,1
R_1CqhJD8g5JFIQN7,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2003 11:22,17/03/2003 12:20,1,51,2,1,50,1,3,4,4,4,4,4,3,5,4,5,4,5,1,5,4,5,4,4,5,3,4,5,6,5,3,4,2,6,2,4,4,2,4,5,4,4,5,3,2,6,4,6,4,5,6,6,6,4,2,3,3,4,4,3,3,2,4,4,3,3,4,4,5,4,4,3,3,4,2,3,4,4,3,2,2,2,4,2,18,Chinese,Criminology,12,6,6,5,1
R_2w16flfOpZYseoK,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2003 12:22,17/03/2003 12:50,1,52,1,1,65,1,2,2,2,1,4,3,4,4,5,3,2,3,1,6,3,6,2,3,7,3,4,3,5,5,4,3,2,2,6,3,5,4,3,6,2,1,3,5,2,4,5,6,3,6,5,6,5,4,2,2,2,4,3,3,3,3,3,1,2,1,4,4,2,5,4,2,2,3,2,4,4,5,4,1,4,2,4,1,18,caucasian,"history or psyc, not sure",12,4,4,4,1
R_3kyNsHfWvryFID2,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2003 12:52,17/03/2003 13:34,1,53,1,1,51,1,3,2,2,2,4,2,1,1,1,3,1,3,1,6,3,1,2,4,3,2,1,4,6,2,1,1,1,6,5,3,2,3,3,4,5,4,4,2,2,6,3,4,3,4,2,6,5,4,2,2,2,4,4,2,3,3,3,2,3,2,4,4,5,5,4,3,4,2,3,4,2,3,2,1,5,4,5,2,23,Chinese,Econ,9,4,3,4,4
