V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,placeholder1,placeholder1,pcode,Q22,happy,Q63,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,tol1,tol2,tol3,tol4,tol5,obese1,obese2,obese3,obese4,obese5,obese6,obese7,obese8,obese9,obese10,obese11,obese12,obese13,obese14,obese15,Q89,wealthatt1,wealthatt2,wealthatt3,wealthatt4,finsit1,finsit2,finsit3,finsit4,finsit5,finsit6,finsit7,finsit8,finsit9,finsit10,finsit11,finsit12,finsit13,finsit14,finsit15,crime1,crime2,crime3,crime4,crime5,crime6,crime7,crime8,crime9,crime10,crime11,crime12,causeineq1,causeineq2,causeineq3,causeineq4,causeineq5,causeineq6,causeineq7,causeineq8,causeineq9,causeineq10,causeineq11,causeineq12,causal1,causal2,causal3,causal4,causal5,causal6,redist1,redist2,redist3,redist4,merit1,merit2,merit3,merit4,merit5,merit6,gender,age,ethnicity,major,income,ideology,soc.iss,econ.iss,partyid,time
R_51F07EDIIi6bh17,Default Response Set,Anonymous,,,184.70.131.194,0,2017-09-29 14:04,2017-09-29 14:19,1,,,72519,1,51,1,6,6,6,2,6,2,4,6,1,5,4,4,4,2,7,4,4,4,2,4,6,4,1,3,4,1,4,4,4,2,7,7,7,1,1,6,5,4,2,4,4,5,4,4,5,4,4,4,4,6,1,3,4,4,4,5,5,5,5,7,5,7,4,5,7,5,5,4,6,5,7,7,7,7,6,7,5,4,1,2,1,6,4,5,5,5,4,3,5,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,2,4,4,2,1,2,20,"Filipino, Canadian",Education,8,6,6,8,2,2
R_2eVH3nPx7bfgBMq,Default Response Set,Anonymous,,,96.48.225.89,0,2017-09-29 21:54,2017-09-29 22:07,1,,,29323,1,71,1,5,5,4,3,5,2,3,5,2,6,4,3,2,2,5,2,2,5,2,4,5,4,2,2,2,2,4,3,3,2,4,4,4,2,3,6,6,2,3,3,2,5,5,5,5,5,2,2,2,5,1,1,4,4,3,6,6,5,6,6,5,7,4,6,5,2,4,5,6,5,3,5,5,4,4,2,2,2,2,3,2,5,4,2,5,3,4,5,3,2,2,2,1,2,4,7,5,4,4,3,3,3,4,4,4,4,1,2,1,1,2,19,caucasian,Psychology,3,2,2,3,1,2
R_2sWOJeRkIiz7Gck,Default Response Set,Anonymous,,,50.67.240.93,0,2017-09-30 2:00,2017-09-30 2:11,1,,,39774,1,100,1,5,5,5,3,5,3,3,4,3,5,5,2,3,3,7,4,4,5,4,5,4,3,4,6,3,2,5,4,5,4,6,4,5,5,2,5,5,4,6,3,5,6,5,5,5,5,4,3,4,4,1,3,4,4,5,7,7,6,2,6,6,4,5,6,4,7,2,2,4,6,5,6,6,5,5,6,5,4,4,6,4,6,3,5,5,5,5,4,2,3,3,5,5,4,3,3,5,6,6,6,3,3,3,3,5,6,6,6,6,5,1,19,Asian,Psychology,1,8,8,8,4,2
R_2cnlEDwdLiO6iy9,Default Response Set,Anonymous,,,50.68.93.25,0,2017-09-30 7:02,2017-09-30 7:11,1,,,91835,1,90,1,6,6,3,2,5,2,3,4,2,6,4,4,1,2,6,3,4,4,2,3,5,2,2,2,2,1,4,2,5,1,7,7,6,1,1,6,3,3,2,2,7,3,2,3,3,2,6,6,5,2,1,3,4,5,5,7,7,7,5,4,7,7,7,7,4,7,7,1,5,6,7,7,5,6,7,6,5,2,3,2,2,4,5,5,5,5,5,5,1,5,5,5,5,5,1,7,1,4,1,1,4,4,4,4,7,3,3,2,2,1,2,18,Persian ,Criminology,2,8,8,8,3,2
R_3jfH900lFUJ7tE9,Default Response Set,Anonymous,,,24.84.136.101,0,2017-09-30 11:26,2017-09-30 11:44,1,,,20924,1,39,1,6,6,5,3,5,3,3,4,3,5,1,3,2,1,4,3,5,3,3,2,6,3,3,5,3,3,5,3,6,1,4,5,5,3,2,5,5,4,2,3,3,5,3,5,5,3,5,5,5,4,1,3,4,5,4,7,7,5,5,1,4,4,5,4,6,5,3,3,1,4,6,5,5,5,5,6,4,1,3,5,1,2,3,5,5,4,1,4,3,1,1,2,1,4,5,6,4,7,1,4,3,4,2,2,6,7,6,3,7,7,2,19,canadian,Psychology,1,3,2,4,4,2
R_3MGNj84T0g6gkAc,Default Response Set,Anonymous,,,96.49.56.138,0,2017-09-30 13:04,2017-09-30 13:08,1,,,53159,1,0,1,2,2,2,1,1,1,1,1,1,1,1,5,4,4,4,4,4,4,4,4,4,2,1,1,3,5,5,1,4,1,3,4,4,4,4,3,4,4,4,5,3,3,3,6,5,4,4,4,6,4,1,4,3,3,2,4,5,6,4,4,2,4,3,6,5,4,5,4,4,4,6,3,5,3,3,6,4,4,3,4,4,5,3,2,2,3,3,4,3,3,3,4,3,3,4,4,2,4,4,4,1,3,3,2,4,3,4,4,4,3,1,20,caucasian,crim,7,9,9,9,4,2
R_2PjWetR2tl0sJpQ,Default Response Set,Anonymous,,,24.84.168.78,0,2017-09-30 22:24,2017-09-30 22:37,1,,,16983,1,92,1,6,4,5,2,4,3,4,4,4,5,3,3,2,3,6,5,3,4,4,5,5,3,4,5,3,6,4,5,6,5,6,5,4,3,3,5,5,3,5,3,5,5,4,5,5,5,4,4,5,3,1,4,4,4,4,7,7,5,4,5,4,6,5,6,5,7,5,3,5,6,6,6,7,4,4,5,3,3,5,5,3,5,4,4,4,3,5,5,5,5,3,5,5,5,6,7,7,5,6,5,3,1,2,3,7,5,6,3,6,6,2,17,Chinese ,Psychology ,5,2,3,2,1,2
R_2YGiZoA34Rfx84x,Default Response Set,Anonymous,,,142.58.87.144,0,2017-10-03 10:38,2017-10-03 11:02,1,,,94563,1,80,1,5,4,4,4,5,3,4,4,3,5,4,4,3,4,5,3,4,4,3,4,5,4,3,4,2,4,4,3,6,4,5,4,5,4,2,4,5,3,3,3,4,5,5,4,5,5,4,4,4,4,1,2,4,3,3,7,7,6,5,5,6,5,6,5,5,4,4,1,4,7,4,5,5,5,3,4,1,3,4,4,1,5,2,3,4,4,4,4,3,4,4,5,5,5,4,4,4,4,4,4,3,2,2,2,5,4,6,5,6,6,1,18,South Korean ,English,6,4,4,3,4,2
R_bdaXweUaENYOlgd,Default Response Set,Anonymous,,,70.71.188.85,0,2017-10-03 11:20,2017-10-03 11:32,1,,,57114,1,51,1,4,3,4,3,5,2,2,2,3,6,3,3,2,2,6,2,6,3,2,5,3,3,3,5,4,2,4,3,5,3,6,4,6,6,2,2,5,2,5,2,5,7,5,5,1,5,5,2,5,4,1,3,3,4,2,5,5,5,5,5,5,1,4,5,1,5,2,1,5,5,6,6,6,5,6,6,5,5,2,6,6,6,4,4,4,2,4,4,4,4,2,4,4,4,4,4,6,3,6,3,4,4,4,4,4,2,2,6,2,2,2,20,Chinese ,Education ,2,5,7,4,2,2
R_1eKLsWXibHiAlNZ,Default Response Set,Anonymous,,,70.71.135.137,0,2017-10-03 11:22,2017-10-03 11:34,1,,,12369,1,29,1,6,5,5,3,6,6,2,4,2,6,4,4,3,4,5,5,3,5,2,5,5,5,5,6,5,3,4,4,3,2,5,4,4,6,3,5,5,5,5,5,6,5,5,5,6,6,5,5,5,5,1,4,2,4,4,6,5,6,4,6,6,2,5,5,5,6,5,5,2,5,6,5,5,4,2,2,4,2,5,6,3,5,2,4,5,4,5,5,1,4,4,4,4,4,5,5,5,6,2,4,4,3,4,2,5,5,5,3,5,5,2,18,persian/ fijian ,psych ,14,2,2,2,1,2
R_yCoMy7wo6lfd9rX,Default Response Set,Anonymous,,,207.23.169.53,0,2017-10-03 11:27,2017-10-03 11:38,1,,,79446,1,79,1,6,6,4,6,5,2,3,4,4,4,4,3,3,6,5,3,3,5,4,2,4,5,4,5,4,4,5,5,5,4,6,5,6,4,2,4,5,1,2,2,4,5,4,3,4,4,5,5,4,5,1,2,4,3,3,7,7,6,4,5,4,4,6,3,5,5,5,2,3,4,5,6,6,5,4,6,2,2,6,4,3,6,3,2,4,4,5,4,3,5,4,5,5,5,6,7,4,4,4,4,3,3,3,3,7,6,6,5,7,6,2,18,Caucasian ,Psychology ,10,2,3,2,1,2
R_0jmIvwkdqA6uXeh,Default Response Set,Anonymous,,,23.16.167.174,0,2017-10-03 12:05,2017-10-03 12:17,1,,,52252,1,85,1,6,5,3,3,4,4,4,3,2,5,3,4,2,2,5,6,4,4,4,5,4,5,2,6,2,2,4,4,3,3,3,5,5,4,2,6,6,5,5,3,4,5,4,6,5,4,3,4,4,5,1,4,3,4,4,6,5,5,5,6,5,6,5,5,4,5,6,4,5,6,5,5,4,6,5,5,3,3,5,4,3,4,4,3,4,4,4,4,4,3,3,4,4,4,4,7,6,4,4,5,3,3,2,2,5,4,4,3,5,5,1,19,white,Economics,15,5,5,4,2,2
R_22DPLgfQYcOuX1D,Default Response Set,Anonymous,,,207.23.198.135,0,2017-10-03 12:33,2017-10-03 12:39,1,,,13394,1,24,1,4,6,4,2,6,2,3,7,2,6,2,3,2,2,7,4,6,3,3,3,5,2,2,4,3,1,5,3,2,1,7,7,7,1,1,2,6,1,2,2,4,7,4,2,5,3,6,6,5,2,1,3,3,4,5,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,3,7,5,7,5,3,4,5,1,7,5,5,5,5,5,5,5,5,5,5,5,5,4,7,5,3,4,4,4,4,3,3,6,6,3,1,5,3,2,18,Indian,Undecided,1,8,8,8,3,2
R_O8vhBsa1wkQCPD3,Default Response Set,Anonymous,,,142.58.217.211,0,2017-10-03 13:03,2017-10-03 13:19,1,,,62606,1,45,1,5,6,3,4,5,2,4,2,2,5,2,2,2,2,6,2,2,2,2,2,6,4,2,4,2,2,4,2,3,2,6,6,6,3,2,4,7,2,2,2,2,6,5,2,4,3,3,2,2,7,1,3,4,2,3,7,7,4,5,5,4,4,7,6,6,4,3,1,2,4,4,5,2,4,1,2,3,2,4,3,2,5,2,4,5,3,4,4,5,2,2,2,2,4,4,7,4,7,1,4,4,4,3,3,7,5,5,2,5,4,2,19,Vietnamese,Environmental Science,3,3,3,8,1,2
R_2YDGtSlE2Iyh74z,Default Response Set,Anonymous,,,50.64.110.174,0,2017-10-03 13:12,2017-10-03 13:24,1,,,57865,1,50,1,6,4,5,5,4,5,5,4,3,3,3,3,3,2,5,3,3,4,2,3,3,2,2,4,3,3,5,4,5,4,4,4,5,4,2,3,6,2,6,2,3,7,5,2,5,6,3,3,3,2,1,4,4,3,4,6,6,6,5,4,3,3,4,4,4,5,4,2,3,5,4,3,3,3,4,5,3,3,3,4,1,2,3,2,3,2,4,3,3,4,4,5,5,5,4,6,3,3,2,4,3,3,3,3,5,5,6,5,6,6,1,20,Chinese,Business,1,8,8,8,4,2
R_2V86abDX8Pa17QO,Default Response Set,Anonymous,,,66.183.24.41,0,2017-10-03 13:34,2017-10-03 14:01,1,,,16633,1,25,1,6,5,5,3,6,3,3,3,3,5,5,3,3,3,3,4,5,3,3,3,5,3,5,5,2,5,3,5,6,5,5,5,5,3,3,5,5,3,5,3,2,6,3,5,5,6,3,5,3,5,1,4,4,4,4,6,5,6,5,5,6,6,5,5,5,6,6,5,5,5,5,5,5,6,5,5,5,5,5,6,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,6,3,3,3,3,3,3,2,2,5,3,5,3,4,5,2,19,chinese,psyc,1,3,3,3,1,2
R_C4eYI9u5LALQZhL,Default Response Set,Anonymous,,,207.23.217.237,0,2017-10-03 14:40,2017-10-03 14:51,1,,,87194,1,85,1,7,1,1,4,5,7,3,1,2,4,2,1,1,2,5,6,3,4,1,5,4,6,4,4,2,2,6,1,6,1,6,6,6,2,1,7,6,3,7,5,3,6,5,6,6,6,2,6,2,7,1,3,4,2,2,5,7,6,3,3,6,5,6,3,5,3,2,1,2,4,6,6,6,5,7,2,7,3,7,5,1,5,2,2,4,2,5,3,3,5,4,5,4,3,6,3,4,4,1,4,3,4,3,3,5,3,7,3,4,4,1,19,Iranian,Kinesiology,4,2,4,1,3,2
R_24plLu5Bbmrqb6X,Default Response Set,Anonymous,,,207.23.177.156,0,2017-10-03 15:00,2017-10-03 15:08,1,,,63289,1,51,1,6,6,4,1,4,2,2,4,2,6,5,3,2,4,7,2,4,5,2,4,6,4,4,4,4,2,5,4,5,3,6,6,6,2,1,4,5,4,5,4,5,4,4,5,5,4,5,5,4,5,1,2,4,4,3,4,5,4,5,4,6,5,5,5,4,4,6,3,5,4,5,6,6,5,3,4,4,1,4,4,1,6,4,4,3,4,4,4,4,3,3,3,3,3,6,6,2,6,1,4,4,4,3,3,5,4,2,1,5,3,2,18,South Asian,Behavioural Neuroscience,9,3,3,3,3,2
R_1Kg17UafThaJb15,Default Response Set,Anonymous,,,205.250.54.65,0,2017-10-03 15:21,2017-10-03 15:34,1,,,94563,1,80,1,5,4,4,4,5,6,4,4,3,4,4,4,3,4,4,3,4,4,5,4,5,4,2,4,2,3,4,4,5,3,5,4,5,4,3,4,5,4,5,4,4,5,5,4,5,5,5,3,4,4,1,2,4,2,3,7,7,6,6,5,6,5,6,5,4,5,3,2,5,7,4,4,5,4,3,4,1,4,4,2,1,5,3,4,4,4,5,4,3,5,4,5,5,5,4,4,4,4,4,4,3,2,2,2,6,5,6,5,6,6,1,18,South Korean,English,6,4,4,3,4,2
R_BVPCLpSEWyIS9od,Default Response Set,Anonymous,,,207.23.162.7,0,2017-10-03 16:00,2017-10-03 16:14,1,,,76170,1,75,1,6,4,4,4,4,3,4,4,3,5,5,4,4,4,5,4,4,4,4,4,4,3,4,4,5,4,3,4,4,4,5,5,6,4,2,4,4,3,4,3,4,4,4,3,4,4,6,5,5,4,1,2,4,4,4,6,6,5,4,3,6,6,4,4,1,5,5,2,5,4,5,4,4,5,3,5,4,3,3,3,4,5,4,3,4,4,4,3,2,4,4,4,4,4,4,6,5,4,2,3,4,3,2,2,6,6,6,3,5,6,2,18,Asian ,Psychology ,8,8,8,8,4,2
R_1C93n1dvBZqOPIQ,Default Response Set,Anonymous,,,174.7.45.222,0,2017-10-03 16:10,2017-10-03 16:16,1,,,63440,1,71,1,4,4,4,4,4,3,1,4,4,4,4,4,2,3,5,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,5,5,5,4,4,4,4,4,4,4,5,3,4,4,4,2,5,4,4,4,1,2,3,3,4,5,6,3,3,3,3,3,2,3,2,1,2,1,2,3,4,4,4,4,4,4,4,4,5,4,4,4,1,3,2,3,3,3,3,3,3,2,4,4,4,3,3,3,3,3,4,4,4,3,4,4,4,2,4,2,2,20,indian ,Health sciences,1,9,9,9,4,2
R_1jCh09YiYGppmJi,Default Response Set,Anonymous,,,207.23.163.12,0,2017-10-03 16:36,2017-10-03 16:53,1,,,36454,1,30,1,6,4,4,2,4,3,4,4,4,4,4,4,6,5,4,3,4,4,3,4,4,4,4,5,4,3,3,4,6,4,6,3,5,3,1,5,6,4,4,4,2,4,4,4,5,5,4,4,1,6,1,4,5,3,4,6,6,4,6,5,5,5,3,5,3,4,5,2,2,5,4,4,5,5,3,3,4,4,4,5,1,5,3,3,4,2,4,4,3,2,2,3,3,4,3,5,4,2,2,4,4,3,4,3,6,6,3,3,7,3,1,18,Fijian,Psychology,10,2,2,4,1,2
R_1hxPSTmHR9V75RL,Default Response Set,Anonymous,,,24.244.32.130,0,2017-10-03 17:54,2017-10-03 18:05,1,,,62158,1,74,1,6,5,6,5,5,6,6,3,6,6,5,3,5,5,5,6,3,5,5,3,3,5,5,6,6,7,3,5,6,5,6,5,6,5,6,5,4,6,7,6,6,5,4,5,6,6,5,6,5,6,1,4,3,4,5,6,7,4,6,7,6,6,6,6,6,6,5,4,3,4,6,6,6,4,5,5,5,6,6,7,6,4,3,1,1,4,4,4,1,5,4,5,5,5,4,6,6,4,6,6,3,3,3,2,5,6,5,4,5,4,2,18,Chinese,Criminology,2,2,2,2,1,2
R_3EnwjnpfFr2l3JT,Default Response Set,Anonymous,,,24.114.26.243,0,2017-10-03 19:14,2017-10-03 19:37,1,,,44463,1,76,1,6,6,2,3,2,3,2,2,1,6,2,4,2,2,6,4,6,2,2,2,4,2,2,1,2,2,4,2,7,2,6,7,6,2,1,5,3,2,2,2,4,2,2,2,5,4,4,4,4,4,1,2,4,5,4,5,4,4,5,5,7,5,2,4,7,3,6,1,4,3,4,4,4,5,5,4,5,2,3,4,4,4,5,4,5,3,5,4,1,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,2,3,2,2,4,3,1,20,Caucasian ,Cognitive science ,4,2,2,2,1,2
R_2cvWDLJGidaxOiP,Default Response Set,Anonymous,,,96.48.240.28,0,2017-10-03 19:20,2017-10-03 19:41,1,,,82280,1,98,1,5,4,4,3,4,3,3,3,2,5,2,5,2,2,4,3,5,4,2,4,4,3,4,5,2,2,4,2,5,3,5,4,2,6,6,4,5,5,4,2,2,6,4,4,5,6,4,2,1,5,1,3,4,4,3,7,7,7,5,4,4,3,4,4,3,5,4,2,5,4,5,6,4,5,5,5,3,3,4,4,4,6,3,3,3,2,4,3,2,4,4,4,4,4,1,6,6,6,4,4,3,3,3,3,6,4,5,4,5,5,1,18,caucasian ,Criminology,,5,5,5,2,2
R_2VQRGRdYoRNsC4H,Default Response Set,Anonymous,,,24.84.168.37,0,2017-10-03 20:36,2017-10-03 20:53,1,,,86527,1,50,1,5,5,3,3,5,4,4,5,3,6,3,4,3,2,5,4,5,3,2,4,5,3,3,5,5,3,5,5,4,2,5,6,6,5,2,5,4,3,4,2,4,4,4,3,5,3,5,5,5,3,1,3,4,4,4,6,7,5,5,4,4,5,4,5,3,7,5,3,5,6,4,5,5,5,5,4,2,2,3,3,1,2,3,3,3,3,3,3,1,4,4,5,5,4,5,6,4,7,3,5,4,3,2,2,6,6,2,1,5,3,2,20,Chinese,Criminology ,6,2,2,8,1,2
R_2YqOMYX8fmNrRJn,Default Response Set,Anonymous,,,99.199.97.183,0,2017-10-03 23:33,2017-10-04 0:25,1,,,36254,1,50,1,5,6,4,3,4,3,2,4,2,6,4,4,3,3,6,3,5,4,3,4,4,3,4,4,3,2,4,4,5,3,5,4,6,4,3,5,4,4,4,4,6,3,4,5,5,4,4,5,5,5,1,2,3,3,4,5,6,4,6,4,4,4,4,5,5,4,5,4,5,4,4,4,4,5,5,5,3,4,4,3,4,4,3,3,3,4,4,3,3,4,4,5,4,3,5,5,5,4,4,4,3,4,3,2,5,5,4,4,3,4,1,20,african,psychology,3,3,4,4,1,2
R_3D2Aqv3EtnVRuW3,Default Response Set,Anonymous,,,96.49.252.160,0,2017-10-04 10:43,2017-10-04 11:29,1,,,41824,1,38,1,6,6,4,3,5,2,3,4,3,4,4,3,2,2,6,2,3,4,2,3,5,4,4,4,2,2,4,3,5,2,5,6,6,2,2,4,5,1,1,1,2,3,4,2,4,3,5,5,4,2,1,3,3,4,4,6,5,5,5,6,4,6,4,2,5,4,7,1,4,5,6,5,5,5,3,4,4,3,4,3,1,5,5,4,5,5,4,4,5,4,3,4,3,4,2,5,2,3,2,4,4,4,4,3,5,4,1,2,2,2,2,21,Caucasian,Psychology/Women's Studies,15,3,3,4,1,2
R_30i4btv4tAC2ySY,Default Response Set,Anonymous,,,184.151.231.34,0,2017-09-27 11:52,2017-09-27 12:03,0,,,56501,1,90,1,6,6,4,2,5,2,2,5,4,5,3,4,2,3,6,3,3,3,2,4,6,3,2,4,4,3,6,6,4,2,5,6,5,3,2,2,5,2,6,2,4,3,4,4,4,6,6,5,6,6,1,3,4,3,4,6,7,4,3,3,6,5,2,3,3,3,5,1,1,6,5,6,5,6,5,5,3,3,3,4,3,5,3,5,3,3,4,3,5,2,2,3,2,2,4,7,4,7,1,1,4,3,3,1,6,6,6,6,5,5,2,20,Asian,Psychology,10,2,3,3,1,2
