V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q22,Q74_1,Q63,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q21,Q24,Q26,Q27,Q28,Q216_1,Q216_2,Q216_6,Q216_7,Q216_12,Q216_13,Q216_15,Q216_17,Q216_22,Q216_24,Q216_30,Q216_34,Q216_35,Q216_36,Q216_37,Q217,Q218_1,Q218_2,Q218_3,Q218_4,Q219_1,Q219_2,Q219_3,Q219_4,Q219_5,Q219_6,Q219_7,Q219_8,Q219_9,Q219_10,Q219_11,Q219_12,Q219_13,Q219_14,Q219_15,Q220_1,Q220_2,Q220_3,Q220_4,Q220_5,Q220_6,Q220_7,Q220_8,Q220_9,Q220_10,Q220_11,Q220_13,Q59_1,Q59_2,Q59_3,Q59_4,Q59_5,Q59_6,Q59_7,Q59_8,Q59_9,Q59_10,Q59_11,Q59_12,Q23_1,Q23_2,Q23_3,Q23_4,Q60_1,Q60_2,Q60_3,Q60_4,Q60_5,Q60_6,Q222_1,Q222_2,Q222_3,Q222_4,Q222_5,Q222_6,Q65,Q67,Q69,Q75,Q71,Q72,Q73,Q74,Q75,Q59,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1rApJFMMJAumpP8,Default Response Set,Anonymous,,,142.58.160.102,0,2017-09-28 10:27:19,2017-09-28 10:36:30,1,25234,1,73,1,4,4,5,2,5,3,4,3,2,5,4,4,4,3,6,3,4,4,3,4,5,4,2,4,4,3,4,5,5,3,6,5,5,2,2,6,6,4,4,5,5,6,4,5,2,4,5,6,6,5,1,2,4,4,4,3,6,6,4,5,6,5,5,4,5,4,6,4,4,4,5,6,7,6,4,5,4,4,6,5,3,4,4,1,5,2,5,2,5,5,4,4,5,4,3,4,3,4,5,5,5,3,4,2,3,5,4,5,5,4,2,20,italian,psyc,1,8,8,8,1,1,49.264007568359,-122.93690490723,-1,
R_51F07EDIIi6bh17,Default Response Set,Anonymous,,,184.70.131.194,0,2017-09-29 14:04:07,2017-09-29 14:19:36,1,72519,1,51,1,6,6,6,2,6,2,4,6,1,5,4,4,4,2,7,4,4,4,2,4,6,4,1,3,4,1,4,4,4,2,7,7,7,1,1,6,5,4,2,4,4,5,4,4,5,4,4,4,4,6,1,3,4,4,4,5,5,5,5,7,5,7,4,5,7,5,5,4,6,5,7,7,7,7,6,7,5,4,1,2,1,6,4,5,5,5,4,3,5,3,3,3,3,3,4,4,4,4,3,2,4,4,2,1,4,4,4,4,4,4,2,20,"Filipino, Canadian",Education,8,6,6,8,2,1,49.322204589844,-123.08340454102,-1,
R_2eVH3nPx7bfgBMq,Default Response Set,Anonymous,,,96.48.225.89,0,2017-09-29 21:54:01,2017-09-29 22:07:52,1,29323,1,71,1,5,5,4,3,5,2,3,5,2,6,4,3,2,2,5,2,2,5,2,4,5,4,2,2,2,2,4,3,3,2,4,4,4,2,3,6,6,2,3,3,2,5,5,5,5,5,2,2,2,5,1,1,4,4,3,6,6,5,6,6,5,7,4,6,5,2,4,5,6,5,3,5,5,4,4,2,2,2,2,3,2,5,4,2,5,3,4,5,3,2,2,2,1,2,3,3,4,4,4,4,1,2,1,1,4,7,5,4,4,3,2,19,caucasian,Psychology,3,2,2,3,1,1,49.236602783203,-122.85209655762,-1,
R_2sWOJeRkIiz7Gck,Default Response Set,Anonymous,,,50.67.240.93,0,2017-09-30 02:00:02,2017-09-30 02:11:37,1,39774,1,100,1,5,5,5,3,5,3,3,4,3,5,5,2,3,3,7,4,4,5,4,5,4,3,4,6,3,2,5,4,5,4,6,4,5,5,2,5,5,4,6,3,5,6,5,5,5,5,4,3,4,4,1,3,4,4,5,7,7,6,2,6,6,4,5,6,4,7,2,2,4,6,5,6,6,5,5,6,5,4,4,6,4,6,3,5,5,5,5,4,2,3,3,5,5,4,3,3,3,3,5,6,6,6,6,5,3,3,5,6,6,6,1,19,Asian,Psychology,1,8,8,8,4,1,49.274002075195,-123.0074005127,-1,
R_2cnlEDwdLiO6iy9,Default Response Set,Anonymous,,,50.68.93.25,0,2017-09-30 07:02:52,2017-09-30 07:11:58,1,91835,1,90,1,6,6,3,2,5,2,3,4,2,6,4,4,1,2,6,3,4,4,2,3,5,2,2,2,2,1,4,2,5,1,7,7,6,1,1,6,3,3,2,2,7,3,2,3,3,2,6,6,5,2,1,3,4,5,5,7,7,7,5,4,7,7,7,7,4,7,7,1,5,6,7,7,5,6,7,6,5,2,3,2,2,4,5,5,5,5,5,5,1,5,5,5,5,5,4,4,4,4,7,3,3,2,2,1,1,7,1,4,1,1,2,18,Persian ,Criminology,2,8,8,8,3,1,49.315994262695,-123.05760192871,-1,
R_3jfH900lFUJ7tE9,Default Response Set,Anonymous,,,24.84.136.101,0,2017-09-30 11:26:36,2017-09-30 11:44:34,1,20924,1,39,1,6,6,5,3,5,3,3,4,3,5,1,3,2,1,4,3,5,3,3,2,6,3,3,5,3,3,5,3,6,1,4,5,5,3,2,5,5,4,2,3,3,5,3,5,5,3,5,5,5,4,1,3,4,5,4,7,7,5,5,1,4,4,5,4,6,5,3,3,1,4,6,5,5,5,5,6,4,1,3,5,1,2,3,5,5,4,1,4,3,1,1,2,1,4,3,4,2,2,6,7,6,3,7,7,5,6,4,7,1,4,2,19,canadian,Psychology,1,3,2,4,4,1,49.264007568359,-122.93690490723,-1,
R_3MGNj84T0g6gkAc,Default Response Set,Anonymous,,,96.49.56.138,0,2017-09-30 13:04:58,2017-09-30 13:08:17,1,53159,1,0,1,2,2,2,1,1,1,1,1,1,1,1,5,4,4,4,4,4,4,4,4,4,2,1,1,3,5,5,1,4,1,3,4,4,4,4,3,4,4,4,5,3,3,3,6,5,4,4,4,6,4,1,4,3,3,2,4,5,6,4,4,2,4,3,6,5,4,5,4,4,4,6,3,5,3,3,6,4,4,3,4,4,5,3,2,2,3,3,4,3,3,3,4,3,3,1,3,3,2,4,3,4,4,4,3,4,4,2,4,4,4,1,20 ,caucasian,crim,7,9,9,9,4,1,49.350006103516,-123.06790161133,-1,
R_2PjWetR2tl0sJpQ,Default Response Set,Anonymous,,,24.84.168.78,0,2017-09-30 22:24:17,2017-09-30 22:37:10,1,16983,1,92,1,6,4,5,2,4,3,4,4,4,5,3,3,2,3,6,5,3,4,4,5,5,3,4,5,3,6,4,5,6,5,6,5,4,3,3,5,5,3,5,3,5,5,4,5,5,5,4,4,5,3,1,4,4,4,4,7,7,5,4,5,4,6,5,6,5,7,5,3,5,6,6,6,7,4,4,5,3,3,5,5,3,5,4,4,4,3,5,5,5,5,3,5,5,5,3,1,2,3,7,5,6,3,6,6,6,7,7,5,6,5,2,17,Chinese ,Psychology ,5,2,3,2,1,1,49.239700317383,-123.04069519043,-1,
R_2YGiZoA34Rfx84x,Default Response Set,Anonymous,,,142.58.87.144,0,2017-10-03 10:38:51,2017-10-03 11:02:30,1,94563,1,80,1,5,4,4,4,5,3,4,4,3,5,4,4,3,4,5,3,4,4,3,4,5,4,3,4,2,4,4,3,6,4,5,4,5,4,2,4,5,3,3,3,4,5,5,4,5,5,4,4,4,4,1,2,4,3,3,7,7,6,5,5,6,5,6,5,5,4,4,1,4,7,4,5,5,5,3,4,1,3,4,4,1,5,2,3,4,4,4,4,3,4,4,5,5,5,3,2,2,2,5,4,6,5,6,6,4,4,4,4,4,4,1,18,South Korean ,English,6,4,4,3,4,1,49.264007568359,-122.93690490723,-1,
R_bdaXweUaENYOlgd,Default Response Set,Anonymous,,,70.71.188.85,0,2017-10-03 11:20:20,2017-10-03 11:32:21,1,57114,1,51,1,4,3,4,3,5,2,2,2,3,6,3,3,2,2,6,2,6,3,2,5,3,3,3,5,4,2,4,3,5,3,6,4,6,6,2,2,5,2,5,2,5,7,5,5,1,5,5,2,5,4,1,3,3,4,2,5,5,5,5,5,5,1,4,5,1,5,2,1,5,5,6,6,6,5,6,6,5,5,2,6,6,6,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,2,2,6,2,2,4,4,6,3,6,3,2,20,Chinese ,Education ,2,5,7,4,2,1,49.266693115234,-122.78329467773,-1,
R_1eKLsWXibHiAlNZ,Default Response Set,Anonymous,,,70.71.135.137,0,2017-10-03 11:22:14,2017-10-03 11:34:23,1,12369,1,29,1,6,5,5,3,6,6,2,4,2,6,4,4,3,4,5,5,3,5,2,5,5,5,5,6,5,3,4,4,3,2,5,4,4,6,3,5,5,5,5,5,6,5,5,5,6,6,5,5,5,5,1,4,2,4,4,6,5,6,4,6,6,2,5,5,5,6,5,5,2,5,6,5,5,4,2,2,4,2,5,6,3,5,2,4,5,4,5,5,1,4,4,4,4,4,4,3,4,2,5,5,5,3,5,5,5,5,5,6,2,4,2,18,persian/ fijian ,psych ,14,2,2,2,1,1,49.141006469727,-122.85690307617,-1,
R_yCoMy7wo6lfd9rX,Default Response Set,Anonymous,,,207.23.169.53,0,2017-10-03 11:27:14,2017-10-03 11:38:28,1,79446,1,79,1,6,6,4,6,5,2,3,4,4,4,4,3,3,6,5,3,3,5,4,2,4,5,4,5,4,4,5,5,5,4,6,5,6,4,2,4,5,1,2,2,4,5,4,3,4,4,5,5,4,5,1,2,4,3,3,7,7,6,4,5,4,4,6,3,5,5,5,2,3,4,5,6,6,5,4,6,2,2,6,4,3,6,3,2,4,4,5,4,3,5,4,5,5,5,3,3,3,3,7,6,6,5,7,6,6,7,4,4,4,4,2,18,Caucasian ,Psychology ,10,2,3,2,1,1,49.264007568359,-122.93690490723,-1,
R_0jmIvwkdqA6uXeh,Default Response Set,Anonymous,,,23.16.167.174,0,2017-10-03 12:05:57,2017-10-03 12:17:10,1,52252,1,85,1,6,5,3,3,4,4,4,3,2,5,3,4,2,2,5,6,4,4,4,5,4,5,2,6,2,2,4,4,3,3,3,5,5,4,2,6,6,5,5,3,4,5,4,6,5,4,3,4,4,5,1,4,3,4,4,6,5,5,5,6,5,6,5,5,4,5,6,4,5,6,5,5,4,6,5,5,3,3,5,4,3,4,4,3,4,4,4,4,4,3,3,4,4,4,3,3,2,2,5,4,4,3,5,5,4,7,6,4,4,5,1,19,white,Economics,15,5,5,4,2,1,49.243606567383,-122.78649902344,-1,
R_22DPLgfQYcOuX1D,Default Response Set,Anonymous,,,207.23.198.135,0,2017-10-03 12:33:44,2017-10-03 12:39:59,1,13394,1,24,1,4,6,4,2,6,2,3,7,2,6,2,3,2,2,7,4,6,3,3,3,5,2,2,4,3,1,5,3,2,1,7,7,7,1,1,2,6,1,2,2,4,7,4,2,5,3,6,6,5,2,1,3,3,4,5,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,6,7,3,7,5,7,5,3,4,5,1,7,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,6,6,3,1,5,3,4,7,5,3,4,4,2,18,Indian,Undecided,1,8,8,8,3,1,49.264007568359,-122.93690490723,-1,
R_O8vhBsa1wkQCPD3,Default Response Set,Anonymous,,,142.58.217.211,0,2017-10-03 13:03:37,2017-10-03 13:19:48,1,62606,1,45,1,5,6,3,4,5,2,4,2,2,5,2,2,2,2,6,2,2,2,2,2,6,4,2,4,2,2,4,2,3,2,6,6,6,3,2,4,7,2,2,2,2,6,5,2,4,3,3,2,2,7,1,3,4,2,3,7,7,4,5,5,4,4,7,6,6,4,3,1,2,4,4,5,2,4,1,2,3,2,4,3,2,5,2,4,5,3,4,4,5,2,2,2,2,4,4,4,3,3,7,5,5,2,5,4,4,7,4,7,1,4,2,19,Vietnamese,Environmental Science,3,3,3,8,1,1,49.264007568359,-122.93690490723,-1,
